,precision,recall,f1-score,support
brain_glioma,0.9281045751633987,0.9435215946843853,0.9357495881383855,301.0
brain_menin,0.7718309859154929,0.9102990033222591,0.8353658536585366,301.0
brain_tumor,0.9354838709677419,0.755700325732899,0.836036036036036,307.0
accuracy,0.8690869086908691,0.8690869086908691,0.8690869086908691,0.8690869086908691
macro avg,0.8784731440155445,0.8698403079131811,0.869050492610986,909.0
weighted avg,0.8788494524442718,0.8690869086908691,0.8688325754058708,909.0
